CNJ,NATURE,SUBJECT,IsCriminal,JusticeSegmentVerifier,NatureVerifier,NatureVerifier2,SubjectVerifier,IsCriminalVerifier
0016400-87.2014.8.19.0004,Procedimento Especial da Lei Antitóxicos - Criminal (Lei .343/06,Tráfico de Drogas e Condutas Afins (Art. 33 - Lei 11.343/06),TRUE,ok,ok,ok,ok,true
0011381-21.2013.8.08.0173,Procedimento do Juizado Especial Cível « Procedimento de Conhecimento « Processo de Conhecimento « PROCESSO CÍVEL E DO TRABALHO,"Liminar , Medida Cautelar, DIREITO PROCESSUAL CIVIL E DO TRABALHO",FALSE,ok,no,no,no,false
5039115-72.2016.8.13.0024,[CÍVEL] PROCEDIMENTO COMUM CÍVEL,DIREITO CIVIL (899)  -  Obrigações (7681)  -  Adimplemento e Extinção (7690,FALSE,ok,no,no,no,false
5000085-11.2021.8.13.0879,[CÍVEL] CUMPRIMENTO DE SENTENÇA,DIREITO PROCESSUAL CIVIL E DO TRABALHO / Liquidação / Cumprimento / Execução / Causas Supervenientes à Sentenç,FALSE,ok,no,no,no,false
0024026-53.2014.8.16.0001,- Procedimento Comum,9582 - Alienação Fiduciária,FALSE,ok,ok,no,no,false
5002753-61.2020.4.03.6000,CARTA PRECATÓRIA CRIMINAL,Intimação (11782),TRUE,ok,ok,ok,no,true
0419787-64.2016.8.09.0162,279 - PROCESSO CRIMINAL -> Procedimentos Investigatórios -> Inquérito Policial,10949 - DIREITO PENAL -> Violência Doméstica Contra a Mulher - - 3386 - DIREITO PENAL -> Lesão Corporal -> Leve - CP,TRUE,ok,ok,ok,ok,true
2145978-08.2022.8.26.0000,Revisão Criminal,DIREITO PENAL - Crimes Previstos na Legislação Extravagante - Crimes de Tráfico Ilícito e Uso Indevido de Drogas - Tráfico de Drogas e Condutas Afins,TRUE,ok,ok,ok,ok,true
1001578-72.2015.5.02.0422,ETCiv,"Adequação da Ação / Procedimento, Adjudicação, Anulação / Nulidade de Ato ou Negócio Jurídico, Arquivamento, Ato Atentatório à Dignidade da Justiça, Atos executórios, Ausência da Parte, Avaliação / Reavaliação, Bem Público, Bem de Família, Cerceamento de Defesa, Coisa Julgada, Competência Funcional, Competência Territorial, Competência da Justiça Estadual, Competência da Justiça Federal, Competência da Justiça do Trabalho, Competência por Prerrogativa de Função, Conexão, Contratuais, Custas / Emolumentos, Denunciação da Lide, Descumprimento de Obrigações de Auxiliares da Justiça, Documento Novo, Dolo ou Colusão entre as Partes, E-Doc, Efeito Suspensivo, Erro de Fato, Excesso de Penhora, Extrajudicial, Falta de Pressuposto Processual e/ou Condição da Ação, Falência, Impedimento, Impenhorabilidade, Interesse Processual, Legitimidade Ativa, Litigância de Má-Fé, Litispendência, Objetos de Cartas Precatórias / de Ordem / Rogatórias, Ordem de Preferência, Ritos, Suspeição, Violação Literal à Disposição de Lei",FALSE,no,ok,no,ok,false
0002829-71.2014.8.26.0160,Homologação de Transação Extrajudicial,Transação,FALSE,ok,ok,no,no,false
5002564-68.2013.4.04.7013,AGRAVO DE EXECUÇÃO PENAL,"Execução Penal e de Medidas Alternativas, DIREITO PROCESSUAL PENAL",TRUE,ok,ok,ok,ok,true
0812316-53.2018.4.05.8100,CARTA PRECATÓRIA CRIMINAL,DIREITO PROCESSUAL PENAL Jurisdição e Competência Competência da Justiça Federal,TRUE,ok,ok,ok,ok,true
0014793-41.2020.8.19.0000,Habeas Corpus,"Tráfico de Drogas e Condutas Afins ,  Crimes de Tráfico Ilícito e Uso Indevido de Drogas ,  Crimes Previstos na Legislação Extravagante ,  DIREITO PENAL",TRUE,ok,ok,ok,ok,true
1001163-91.2019.8.26.0564,Reintegração / Manutenção de Posse,Esbulho / Turbação / Ameaça,FALSE,ok,ok,no,no,false
0033834-86.2018.8.16.0019,- Cumprimento de sentença,10439 - Indenização por Dano Material,FALSE,ok,ok,no,no,false
7002892-79.2016.8.22.0010,EXECUÇÃO DE TÍTULO EXTRAJUDICIAL,DIREITO PROCESSUAL CIVIL E DO TRABALHO - Liquidação / Cumprimento / Execução - Penhora / Depósito/ Avaliação,FALSE,ok,ok,no,no,false
5000135-55.2019.8.08.0003,RECURSO INOMINADO CÍVEL,Obrigação de Fazer / Não Fazer (10671),FALSE,ok,no,no,no,false
1010340-16.2015.8.26.0016,Recurso Inominado Cível,Indenização por Dano Material,FALSE,ok,no,no,no,false
1001555-03.2017.5.02.0311,Ação Trabalhista - Rito Sumário (Alçada),,FALSE,no,ok,no,vazio,false
0163142-90.2011.8.09.0125,7 - Procedimento Comum,,FALSE,ok,ok,no,vazio,false
5001807-90.2021.8.13.0035,[CÍVEL] CARTA PRECATÓRIA CÍVEL,DIREITO PROCESSUAL CIVIL E DO TRABALHO / Objetos de cartas precatórias/de ordem / Oitiv,FALSE,ok,no,no,no,false
0000907-77.2019.4.01.3804,AÇÃO PENAL - PROCEDIMENTO ORDINÁRIO,DIREITO PENAL (287) - Crimes Previstos na Legislação Extravagante (3603) - Crimes contra a Ordem Econômica (3615 DIREITO PENAL (287) - Crimes Previstos na Legislação Extravagante (3603) - Crimes contra o Meio Ambiente e o Patrimônio Genético (3618 DIREITO PENAL (287) - Crimes Previstos na Legislação Extravagante (3603) - Crimes contra o Meio Ambiente e o Patrimônio Genético (3618) - Crimes contra a Flora (3620,TRUE,ok,ok,ok,ok,true
0800783-76.2022.8.14.0048,Auto de Prisão em Flagrante,3632 - Crimes de Trânsito,TRUE,ok,ok,ok,ok,true
0000351-19.2018.8.16.0196,INQUÉRITO POLICIAL,Decorrente de Violência Doméstica - Ameaça - Injúria,TRUE,ok,ok,ok,ok,true
0300139-82.2019.8.24.0028,Embargos à Execução,Efeito Suspensivo / Impugnação / Embargos à Execução - Liquidação / Cumprimento / Execução - Duplicata,FALSE,ok,ok,no,no,false
0000316-74.2021.5.17.0132,CartPrecCiv,Atos executórios,FALSE,no,ok,no,ok,false
0000149-95.2019.8.22.0016,Ação Penal - Procedimento Ordinário (Réu Preso),DIREITO PENAL (287) - Crimes contra o Patrimnio (3415) - Receptação (3435,TRUE,ok,ok,ok,ok,true
1000326-13.2021.5.02.0070,Agravo de Petição,,FALSE,no,ok,no,vazio,false
0012801-47.2016.5.15.0097,Embargos de Terceiro Cível,"Penhora Online / BACEN JUD, Anulação / Nulidade de Ato ou Negócio Jurídico, Cerceamento de Defesa, Embargos de Terceiro, Indeferimento de Produção de Prova",FALSE,no,no,no,no,false
0012801-47.2016.5.15.0097,Embargos de Terceiro Cível,"Penhora Online / BACEN JUD, Anulação / Nulidade de Ato ou Negócio Jurídico, Cerceamento de Defesa, Embargos de Terceiro, Indeferimento de Produção de Prova",FALSE,no,no,no,no,false
0011136-47.2019.8.21.0008,PRECATÓRIAS CRIMINAIS - Precatória de Intimação,,TRUE,ok,ok,ok,vazio,true
0000103-72.2011.8.26.0664,Outros Feitos não Especificados,,FALSE,ok,ok,no,vazio,false
0710457-04.2021.8.07.0015,CARTA PRECATÓRIA CÍVEL,DIREITO PROCESSUAL CIVIL E DO TRABALHO (8826) - Objetos de cartas precatórias/de ordem (11781) - Intimação (11782 DIREITO PROCESSUAL CIVIL E DO TRABALHO (8826) - Objetos de cartas precatórias/de ordem (11781) - Atos executórios (11786,FALSE,ok,no,no,ok,true
0001685-65.2020.4.03.6323,1 (CNJ 436) - PROCEDIMENTO DO JUIZADO ESPECIAL CÍVEL,"010408 - SERVIÇOS DELEGADOS A TERCEIROS: CONCESSÃO/PERMISSÃO/AUTORIZAÇÃO - SERVIÇOS, 10076 - DIREITO ADMINISTRATIVO E OUTRAS MATÉRIAS DE DIREITO PÚBLICO - SERVIÇOS - CONCESSÃO / PERMISSÃO / AUTORIZAÇÃO - TRANSPORTE TERRESTRE, 195 - TRANSPORTE TERRESTRE",FALSE,ok,no,no,no,false
0004366-15.2009.4.01.3812,1116 - Execução Fiscal,6046 - Conselhos Regionais e Afins Anuidade,FALSE,ok,ok,no,no,false
0000297-94.2015.4.01.3822,- Recurso Inominado Cível,6104 - Pensão por Morte Art 749,FALSE,ok,no,no,no,false
0010117-59.2014.8.26.0196,Ação Penal - Procedimento Sumaríssimo,Posse de Drogas para Consumo Pessoal,TRUE,ok,ok,ok,ok,true
0038307-31.2014.8.08.0035,Tribunal de Juri,,FALSE,ok,ok,ok,vazio,true
0002400-93.2001.5.02.0317,RTOrd,,FALSE,no,ok,no,vazio,false
0003544-72.2017.8.16.0165,- Carta Precatória Cível,,FALSE,ok,no,no,vazio,false
0001275-80.2020.8.11.0040,Carta Precatória,"INTIMAR OS REUS - MD. RAST. 81120204956437.  AUTOS N.  3774-17.2009.811.0042. CODIGO 136535. AUDIENCIA DESIGNADA PARA O DIA 24/03/2020, AS 14 HORAS.",TRUE,ok,ok,no,no,false
5010046-25.2021.8.24.0020,Guarda de Família -  Família - Geral,,FALSE,ok,ok,no,vazio,false
0015007-75.2019.8.09.0087,Processo Físico - Cálculo de Liquidação de Pena,Execução Penal -,TRUE,ok,ok,ok,ok,true
1016352-06.2016.8.26.0309,Reintegração / Manutenção de Posse,"Esbulho / Turbação / Ameaça, Posse",FALSE,ok,ok,no,no,false
0012322-12.2015.8.16.0194,- Busca e Apreensão,7717 - Espécies de Títulos de Crédito,FALSE,ok,ok,no,no,false
0004098-27.2010.8.26.0083,Consignação em Pagamento,Pagamento em Consignação,FALSE,ok,ok,no,no,false
0000818-45.2010.8.26.0666,Reintegração / Manutenção de Posse,Posse,FALSE,ok,ok,no,no,false
0007252-06.2008.8.21.0037,especiais,produção e tráfico ilícito de drogas,TRUE,ok,ok,no,ok,true
1000427-35.2017.8.26.0082,Mandado de Segurança Cível,Garantias Constitucionais,FALSE,ok,no,no,no,false
0049070-59.2012.8.21.7000,apelacao,alienacao fiduciaria,FALSE,ok,ok,no,no,false
5010644-15.2021.8.24.0008,INQUÉRITO POLICIAL - PRISAO EM FLAGRANTE -  Penal - Trânsito,,TRUE,ok,ok,ok,vazio,true
0000405-53.2021.5.06.0181,Homologação da Transação Extrajudicial,,FALSE,no,ok,no,vazio,false
0000329-93.2017.8.16.0131,- Execução Fiscal,6017 - Dívida Ativa,FALSE,ok,ok,no,no,false
0000329-93.2017.8.16.0131,- Execução Fiscal,6017 - Dívida Ativa,FALSE,ok,ok,no,no,false
1029088-88.2014.8.26.0224,Despejo por Falta de Pagamento,Obrigações,FALSE,ok,ok,no,no,false
0220772-02.2019.8.13.0000,Agravo de Instrumento-Cv,Violação dos Princípios Administrativos < Improbidade Administrativa < Atos Administrativos < DIREITO ADMINISTRATIVO E OUTRAS MATÉRIAS DE DIREITO PÚBLICO,FALSE,ok,ok,no,no,false
5020034-41.2019.4.04.7001,AÇÃO PENAL,"Contrabando (art. 334-A), Crimes praticados por particular contra a Administração em geral, DIREITO PENAL",TRUE,ok,ok,ok,ok,true
0000746-68.2018.8.16.0080,- Procedimento Comum,9580 - Espécies de Contratos,FALSE,ok,ok,no,no,false
7002237-37.2021.8.22.0009,RESTITUIÇÃO DE COISAS APREENDIDAS,DIREITO PENAL (287) - Crimes contra o Patrimnio (3415) - Receptação (3435 DIREITO PENAL (287) - Crimes contra o Patrimônio (3415) - Receptação culposa (11959,TRUE,ok,ok,ok,ok,true
0002469-95.2020.8.16.0131,- Execução da Pena,,FALSE,ok,ok,ok,vazio,true
0002069-41.2021.8.08.0011,Cível,Procedimento Comum Cível,FALSE,ok,no,no,no,false
0004117-28.2012.8.05.0154,Execução de Alimentos,Alimentos(PRINCIPAL),FALSE,ok,ok,no,no,false
5004613-24.2021.8.13.0480,[CÍVEL] CUMPRIMENTO DE SENTENÇA,DIREITO PROCESSUAL CIVIL E DO TRABALHO / Liquidação / Cumprimento / Execução / Causas Supervenientes à Sentenç,FALSE,ok,no,no,no,false
0001078-93.2016.5.05.0037,AÇÃO TRABALHISTA - RITO ORDINÁRIO,,FALSE,no,ok,no,vazio,false
5000408-73.2021.8.08.0032,TUTELA CAUTELAR ANTECEDENTE,DIREITO CIVIL (899) - Obrigaões (7681) - Espécies de Contratos (9580) - Contratos Bancários (9607,FALSE,ok,ok,no,no,false
5272958-98.2020.8.09.0029,PROCESSO CÍVEL E DO TRABALHO -> Processo de Conhecimento -> Procedimento de Conhecimento -> Procedimento do Juizado Especial Cível,DIREITO DO CONSUMIDOR -> Responsabilidade do Fornecedor -> Indenização por Dano Material - Lei n. 8.078/90 (C.D.C.) - DIREITO DO CONSUMIDOR -> Responsabilidade do Fornecedor -> Indenização por Dano Moral -,FALSE,ok,no,no,no,false
0026412-19.2012.8.19.0203,Monitória,"Contratos Bancários, Direito Civil",FALSE,ok,ok,no,no,false
1500631-50.2020.8.26.0556,Procedimento Especial da Lei Antitóxicos,Tráfico de Drogas e Condutas Afins,TRUE,ok,ok,ok,ok,true
5003595-69.2021.8.13.0317,[CÍVEL] PROCEDIMENTO COMUM CÍVEL,DIREITO CIVIL / Responsabilidade Civil / Indenização por Dano Mora DIREITO CIVIL / Responsabilidade Civil / Indenização por Dano Materia,FALSE,ok,no,no,no,false
0015050-18.2014.8.26.0506,AGRAVO EM RECURSO ESPECIAL,DIREITO PENAL | Crimes Previstos na Legislação Extravagante - DIREITO PENAL | Crimes do Sistema Nacional de Armas,TRUE,ok,ok,no,ok,true
5007417-88.2021.8.13.0245,[CRIMINAL] TERMO CIRCUNSTANCIADO,DIREITO PENAL / CRIMES CONTRA A LIBERDADE PESSOAL / AMEAÇ,TRUE,ok,ok,ok,ok,true
0011026-45.2022.5.18.0083,ConPag,Pedido de Demissão - Justa Causa / Falta Grave,FALSE,no,ok,no,no,false
5001644-94.2013.4.04.7110,RECURSO ESPECIAL,"DIREITO ADMINISTRATIVO E OUTRAS MATÉRIAS DE DIREITO PÚBLICO, Atos Administrativos, Infração Administrativa, Multas e demais Sanções, Crédito Tributário, Suspensão da Exigibilidade",FALSE,ok,ok,no,no,false
