CNJ,NATURE,SUBJECT,IsCriminal,JusticeSegmentVerifier,NatureVerifier,NatureVerifier2,SubjectVerifier,IsCriminalVerifier
0016400-87.2014.8.19.0004,Procedimento Especial da Lei Antitóxicos - Criminal (Lei .343/06,Tráfico de Drogas e Condutas Afins (Art. 33 - Lei 11.343/06),TRUE,ok,ok,ok,ok,true
5002753-61.2020.4.03.6000,CARTA PRECATÓRIA CRIMINAL,Intimação (11782),TRUE,ok,ok,ok,no,true
0419787-64.2016.8.09.0162,279 - PROCESSO CRIMINAL -> Procedimentos Investigatórios -> Inquérito Policial,10949 - DIREITO PENAL -> Violência Doméstica Contra a Mulher - - 3386 - DIREITO PENAL -> Lesão Corporal -> Leve - CP,TRUE,ok,ok,ok,ok,true
2145978-08.2022.8.26.0000,Revisão Criminal,DIREITO PENAL - Crimes Previstos na Legislação Extravagante - Crimes de Tráfico Ilícito e Uso Indevido de Drogas - Tráfico de Drogas e Condutas Afins,TRUE,ok,ok,ok,ok,true
5002564-68.2013.4.04.7013,AGRAVO DE EXECUÇÃO PENAL,"Execução Penal e de Medidas Alternativas, DIREITO PROCESSUAL PENAL",TRUE,ok,ok,ok,ok,true
0812316-53.2018.4.05.8100,CARTA PRECATÓRIA CRIMINAL,DIREITO PROCESSUAL PENAL Jurisdição e Competência Competência da Justiça Federal,TRUE,ok,ok,ok,ok,true
0014793-41.2020.8.19.0000,Habeas Corpus,"Tráfico de Drogas e Condutas Afins ,  Crimes de Tráfico Ilícito e Uso Indevido de Drogas ,  Crimes Previstos na Legislação Extravagante ,  DIREITO PENAL",TRUE,ok,ok,ok,ok,true
0000907-77.2019.4.01.3804,AÇÃO PENAL - PROCEDIMENTO ORDINÁRIO,DIREITO PENAL (287) - Crimes Previstos na Legislação Extravagante (3603) - Crimes contra a Ordem Econômica (3615 DIREITO PENAL (287) - Crimes Previstos na Legislação Extravagante (3603) - Crimes contra o Meio Ambiente e o Patrimônio Genético (3618 DIREITO PENAL (287) - Crimes Previstos na Legislação Extravagante (3603) - Crimes contra o Meio Ambiente e o Patrimônio Genético (3618) - Crimes contra a Flora (3620,TRUE,ok,ok,ok,ok,true
0800783-76.2022.8.14.0048,Auto de Prisão em Flagrante,3632 - Crimes de Trânsito,TRUE,ok,ok,ok,ok,true
0000351-19.2018.8.16.0196,INQUÉRITO POLICIAL,Decorrente de Violência Doméstica - Ameaça - Injúria,TRUE,ok,ok,ok,ok,true
0000149-95.2019.8.22.0016,Ação Penal - Procedimento Ordinário (Réu Preso),DIREITO PENAL (287) - Crimes contra o Patrimnio (3415) - Receptação (3435,TRUE,ok,ok,ok,ok,true
0011136-47.2019.8.21.0008,PRECATÓRIAS CRIMINAIS - Precatória de Intimação,,TRUE,ok,ok,ok,vazio,true
