CNJ,CNJYear,NATURE,SUBJECT,IsCriminal,JusticeSegmentVerifier,NatureVerifier,NatureVerifier2,SubjectVerifier,IsCriminalVerifier
0011381-21.2013.8.08.0173,2013,Procedimento do Juizado Especial Cível « Procedimento de Conhecimento « Processo de Conhecimento « PROCESSO CÍVEL E DO TRABALHO,"Liminar , Medida Cautelar, DIREITO PROCESSUAL CIVIL E DO TRABALHO",FALSE,ok,no,no,no,false
5039115-72.2016.8.13.0024,2016,[CÍVEL] PROCEDIMENTO COMUM CÍVEL,DIREITO CIVIL (899)  -  Obrigações (7681)  -  Adimplemento e Extinção (7690,FALSE,ok,no,no,no,false
5000085-11.2021.8.13.0879,2021,[CÍVEL] CUMPRIMENTO DE SENTENÇA,DIREITO PROCESSUAL CIVIL E DO TRABALHO / Liquidação / Cumprimento / Execução / Causas Supervenientes à Sentenç,FALSE,ok,no,no,no,false
0024026-53.2014.8.16.0001,2014,- Procedimento Comum,9582 - Alienação Fiduciária,FALSE,ok,ok,no,no,false
1001578-72.2015.5.02.0422,2015,ETCiv,"Adequação da Ação / Procedimento, Adjudicação, Anulação / Nulidade de Ato ou Negócio Jurídico, Arquivamento, Ato Atentatório à Dignidade da Justiça, Atos executórios, Ausência da Parte, Avaliação / Reavaliação, Bem Público, Bem de Família, Cerceamento de Defesa, Coisa Julgada, Competência Funcional, Competência Territorial, Competência da Justiça Estadual, Competência da Justiça Federal, Competência da Justiça do Trabalho, Competência por Prerrogativa de Função, Conexão, Contratuais, Custas / Emolumentos, Denunciação da Lide, Descumprimento de Obrigações de Auxiliares da Justiça, Documento Novo, Dolo ou Colusão entre as Partes, E-Doc, Efeito Suspensivo, Erro de Fato, Excesso de Penhora, Extrajudicial, Falta de Pressuposto Processual e/ou Condição da Ação, Falência, Impedimento, Impenhorabilidade, Interesse Processual, Legitimidade Ativa, Litigância de Má-Fé, Litispendência, Objetos de Cartas Precatórias / de Ordem / Rogatórias, Ordem de Preferência, Ritos, Suspeição, Violação Literal à Disposição de Lei",FALSE,no,ok,no,ok,false
0002829-71.2014.8.26.0160,2014,Homologação de Transação Extrajudicial,Transação,FALSE,ok,ok,no,no,false
1001163-91.2019.8.26.0564,2019,Reintegração / Manutenção de Posse,Esbulho / Turbação / Ameaça,FALSE,ok,ok,no,no,false
0033834-86.2018.8.16.0019,2018,- Cumprimento de sentença,10439 - Indenização por Dano Material,FALSE,ok,ok,no,no,false
7002892-79.2016.8.22.0010,2016,EXECUÇÃO DE TÍTULO EXTRAJUDICIAL,DIREITO PROCESSUAL CIVIL E DO TRABALHO - Liquidação / Cumprimento / Execução - Penhora / Depósito/ Avaliação,FALSE,ok,ok,no,no,false
5000135-55.2019.8.08.0003,2019,RECURSO INOMINADO CÍVEL,Obrigação de Fazer / Não Fazer (10671),FALSE,ok,no,no,no,false
1010340-16.2015.8.26.0016,2015,Recurso Inominado Cível,Indenização por Dano Material,FALSE,ok,no,no,no,false
1001555-03.2017.5.02.0311,2017,Ação Trabalhista - Rito Sumário (Alçada),,FALSE,no,ok,no,vazio,false
0163142-90.2011.8.09.0125,2011,7 - Procedimento Comum,,FALSE,ok,ok,no,vazio,false
5001807-90.2021.8.13.0035,2021,[CÍVEL] CARTA PRECATÓRIA CÍVEL,DIREITO PROCESSUAL CIVIL E DO TRABALHO / Objetos de cartas precatórias/de ordem / Oitiv,FALSE,ok,no,no,no,false
0300139-82.2019.8.24.0028,2019,Embargos à Execução,Efeito Suspensivo / Impugnação / Embargos à Execução - Liquidação / Cumprimento / Execução - Duplicata,FALSE,ok,ok,no,no,false
0000316-74.2021.5.17.0132,2021,CartPrecCiv,Atos executórios,FALSE,no,ok,no,ok,false
1000326-13.2021.5.02.0070,2021,Agravo de Petição,,FALSE,no,ok,no,vazio,false
0012801-47.2016.5.15.0097,2016,Embargos de Terceiro Cível,"Penhora Online / BACEN JUD, Anulação / Nulidade de Ato ou Negócio Jurídico, Cerceamento de Defesa, Embargos de Terceiro, Indeferimento de Produção de Prova",FALSE,no,no,no,no,false
0012801-47.2016.5.15.0097,2016,Embargos de Terceiro Cível,"Penhora Online / BACEN JUD, Anulação / Nulidade de Ato ou Negócio Jurídico, Cerceamento de Defesa, Embargos de Terceiro, Indeferimento de Produção de Prova",FALSE,no,no,no,no,false
0000103-72.2011.8.26.0664,2011,Outros Feitos não Especificados,,FALSE,ok,ok,no,vazio,false
