cnj_number,doc_id_type,doc_id_number,canonical_name,canonical_type,cover_name,court,forum,court_section,nature,subject,laws_via_cnj_subject,pole,is_criminal,is_carta_precatoria
0016400-87.2014.8.19.0004,CPF,CPF,NOME,NOME,NOME,TJRJ,,2ª Vara Criminal,Procedimento Especial da Lei Antitóxicos - Criminal (Lei .343/06,Tráfico de Drogas e Condutas Afins (Art. 33 - Lei 11.343/06),,polo_passivo,TRUE,FALSE
0011381-21.2013.8.08.0173,CPF,CPF,NOME,NOME,NOME,TJES,CARIACICA - 2º JUIZADO ESPECIAL CÍVEL,,Procedimento do Juizado Especial Cível « Procedimento de Conhecimento « Processo de Conhecimento « PROCESSO CÍVEL E DO TRABALHO,"Liminar , Medida Cautelar, DIREITO PROCESSUAL CIVIL E DO TRABALHO",,polo_ativo,FALSE,FALSE
5039115-72.2016.8.13.0024,CPF,CPF,NOME,NOME,NOME,TJMG,Vara Cível,20,[CÍVEL] PROCEDIMENTO COMUM CÍVEL,DIREITO CIVIL (899)  -  Obrigações (7681)  -  Adimplemento e Extinção (7690,,polo_passivo,FALSE,FALSE
5000085-11.2021.8.13.0879,CPF,CPF,NOME,NOME,NOME,TJMG,,Vara Única da Comarca de Carmópolis,[CÍVEL] CUMPRIMENTO DE SENTENÇA,DIREITO PROCESSUAL CIVIL E DO TRABALHO / Liquidação / Cumprimento / Execução / Causas Supervenientes à Sentenç,,polo_passivo,FALSE,FALSE
0024026-53.2014.8.16.0001,CPF,CPF,NOME,NOME,NOME,TJPR,,,- Procedimento Comum,9582 - Alienação Fiduciária,- Artigo 22 da Lei nº 9.514 de 20 de Novembro de 1997,polo_ativo,FALSE,FALSE
5002753-61.2020.4.03.6000,CPF,CPF,NOME,NOME,NOME,TRF3,,CECAP,CARTA PRECATÓRIA CRIMINAL,Intimação (11782),- Artigo 232 da Lei nº 13.105 de 16 de Março de 2015,polo_passivo,TRUE,TRUE
0419787-64.2016.8.09.0162,CPF,CPF,NOME,NOME,NOME,TJGO,Vara Criminal,2,279 - PROCESSO CRIMINAL -> Procedimentos Investigatórios -> Inquérito Policial,10949 - DIREITO PENAL -> Violência Doméstica Contra a Mulher - - 3386 - DIREITO PENAL -> Lesão Corporal -> Leve - CP,"- Artigo 129 do Decreto Lei nº 2.848 de 07 de Dezembro de 1940
- Artigo 7 da Lei nº 11.340 de 07 de Agosto de 2006",polo_passivo,TRUE,FALSE
2145978-08.2022.8.26.0000,CPF,CPF,NOME,NOME,NOME,TJSP,Tribunal de Justiça,,Revisão Criminal,DIREITO PENAL - Crimes Previstos na Legislação Extravagante - Crimes de Tráfico Ilícito e Uso Indevido de Drogas - Tráfico de Drogas e Condutas Afins,"- Parágrafo 1 Artigo 33 da Lei nº 11.343 de 23 de Agosto de 2006
- Artigo 33 da Lei nº 11.343 de 23 de Agosto de 2006",polo_passivo,TRUE,FALSE
1001578-72.2015.5.02.0422,CPF,CPF,NOME,NOME,NOME,TRT2,,2ª Vara do Trabalho de Santana de Parnaíba,ETCiv,"Adequação da Ação / Procedimento, Adjudicação, Anulação / Nulidade de Ato ou Negócio Jurídico, Arquivamento, Ato Atentatório à Dignidade da Justiça, Atos executórios, Ausência da Parte, Avaliação / Reavaliação, Bem Público, Bem de Família, Cerceamento de Defesa, Coisa Julgada, Competência Funcional, Competência Territorial, Competência da Justiça Estadual, Competência da Justiça Federal, Competência da Justiça do Trabalho, Competência por Prerrogativa de Função, Conexão, Contratuais, Custas / Emolumentos, Denunciação da Lide, Descumprimento de Obrigações de Auxiliares da Justiça, Documento Novo, Dolo ou Colusão entre as Partes, E-Doc, Efeito Suspensivo, Erro de Fato, Excesso de Penhora, Extrajudicial, Falta de Pressuposto Processual e/ou Condição da Ação, Falência, Impedimento, Impenhorabilidade, Interesse Processual, Legitimidade Ativa, Litigância de Má-Fé, Litispendência, Objetos de Cartas Precatórias / de Ordem / Rogatórias, Ordem de Preferência, Ritos, Suspeição, Violação Literal à Disposição de Lei",,polo_passivo,FALSE,FALSE
0002829-71.2014.8.26.0160,CPF,CPF,NOME,NOME,NOME,TJSP,Foro de Descalvado,2ª Vara,Homologação de Transação Extrajudicial,Transação,,polo_ativo,FALSE,FALSE
5002564-68.2013.4.04.7013,CPF,CPF,NOME,NOME,NOME,TRF4,,Juízo Substituto da 1ª VF de Jacarezinho,AGRAVO DE EXECUÇÃO PENAL,"Execução Penal e de Medidas Alternativas, DIREITO PROCESSUAL PENAL",,polo_ativo,TRUE,FALSE
0812316-53.2018.4.05.8100,CPF,CPF,NOME,NOME,NOME,TRF5,,VARA FEDERAL,CARTA PRECATÓRIA CRIMINAL,DIREITO PROCESSUAL PENAL Jurisdição e Competência Competência da Justiça Federal,,polo_passivo,TRUE,TRUE
0014793-41.2020.8.19.0000,CPF,CPF,NOME,NOME,NOME,TJRJ,,TERESOPOLIS 1 VARA CRIMINAL,Habeas Corpus,"Tráfico de Drogas e Condutas Afins ,  Crimes de Tráfico Ilícito e Uso Indevido de Drogas ,  Crimes Previstos na Legislação Extravagante ,  DIREITO PENAL","- Parágrafo 1 Artigo 33 da Lei nº 11.343 de 23 de Agosto de 2006
- Artigo 33 da Lei nº 11.343 de 23 de Agosto de 2006",polo_passivo,TRUE,FALSE
1001163-91.2019.8.26.0564,CPF,CPF,NOME,NOME,NOME,TJSP,,7ª Vara Cível - Foro de São Bernardo do Campo,Reintegração / Manutenção de Posse,Esbulho / Turbação / Ameaça,,polo_ativo,FALSE,FALSE
0033834-86.2018.8.16.0019,CPF,CPF,NOME,NOME,NOME,TJPR,,,- Cumprimento de sentença,10439 - Indenização por Dano Material,"- Artigo 954 da Lei nº 10.406 de 10 de Janeiro de 2002
- Artigo 953 da Lei nº 10.406 de 10 de Janeiro de 2002
- Artigo 952 da Lei nº 10.406 de 10 de Janeiro de 2002
- Artigo 951 da Lei nº 10.406 de 10 de Janeiro de 2002
- Artigo 950 da Lei nº 10.406 de 10 de Janeiro de 2002
- Artigo 949 da Lei nº 10.406 de 10 de Janeiro de 2002
- Artigo 948 da Lei nº 10.406 de 10 de Janeiro de 2002
- Artigo 947 da Lei nº 10.406 de 10 de Janeiro de 2002
- Artigo 946 da Lei nº 10.406 de 10 de Janeiro de 2002
- Artigo 945 da Lei nº 10.406 de 10 de Janeiro de 2002
- Artigo 944 da Lei nº 10.406 de 10 de Janeiro de 2002
- Artigo 927 da Lei nº 10.406 de 10 de Janeiro de 2002",polo_ativo,FALSE,FALSE
